id_hospedaje,codigo reserva,artista,fecha inicio,fecha termino,lugar,nombre hotel,tipo traslado
22,QEY-44433,Pablo Chill-E,8/9/2020,11/9/2020,TORONTO,Chelsea Hotel,AEREO
23,YGC-16315,Camila Cabello,9/12/2020,11/12/2020,VALENCIA,Hotel VillaCarlos,AEREO
24,OYQ-63189,Becky G,25/11/2019,26/11/2019,MIAMI,Riu Plaza Miami Beach,MIXTO
25,ASO-28849,Prince Royce,19/4/2022,19/4/2022,BOSTON,Wyndham Boston,MIXTO
26,TFO-66669,Jessie J,17/7/2022,22/7/2022,VALPARAISO,Hotel WineBox,TERRESTRE
27,HUQ-88012,La Ley,8/4/2018,10/4/2018,WELLINGTON,Rydges Wellington,TERRESTRE
28,NFL-56112,Madonna,18/4/2020,20/4/2020,NUEVA YORK,Millenium Hotel,TERRESTRE
29,QVB-39326,Wisin & Yandel,22/3/2020,27/3/2020,VIÑA DEL MAR,Sheraton Miramar,TERRESTRE
30,WPI-84033,Post Malone,10/3/2021,11/3/2021,ONTARIO,Ontario Hotel,AEREO
31,YPT-93219,Paulo Londra,20/10/2021,21/10/2021,VALPARAISO,CasaBlu Hotel,MIXTO
32,ZRK-71919,Armin Van Buuren,20/10/2021,23/10/2021,SAO PAULO,Sheraton Sao Paulo,MIXTO
33,ECX-86154,Natti Natasha,16/7/2021,21/7/2021,BERLIN,Melia Berlin,TERRESTRE
34,PJY-23232,The Weeknd,6/11/2020,8/11/2020,BILBAO,Hotel Gran Bilbao,TERRESTRE
35,RES-98693,Cami,10/9/2020,15/9/2020,BARCELONA,Acta Voraport,AEREO
36,QEL-91710,Doja Cat,5/8/2022,5/8/2022,MUNICH,Munich Plaza Hotel,TERRESTRE
37,XHM-58775,Miley Cyrus,26/9/2020,29/9/2020,BARCELONA,Barcelo Sants,MIXTO
38,DEQ-92045,Diplo,17/3/2018,22/3/2018,LOS ANGELES,Sonesta Los Angeles,TERRESTRE
39,MOR-25437,Imagine Dragons,22/8/2019,26/8/2019,ONTARIO,Ontario Hotel,MIXTO
40,XMS-18329,A7S,15/2/2020,19/2/2020,VALENCIA,Hotel VillaCarlos,TERRESTRE
41,PQU-76934,Wisin & Yandel,24/1/2021,25/1/2021,VALPARAISO,CasaBlu Hotel,TERRESTRE
42,TQR-16323,Princesa Alba,17/10/2018,19/10/2018,BARCELONA,Acta Voraport,AEREO
43,ZTO-67451,Kudai,17/8/2019,19/8/2019,BARCELONA,Expo Hotel Barcelona,AEREO
44,GCI-39610,Skrillex,26/8/2021,27/8/2021,SANTIAGO,AC Hotel by Marriot,TERRESTRE
45,DKJ-59492,Eagles,14/8/2020,16/8/2020,OTTAWA,Ottawa Hotel,MIXTO
46,GUW-75127,Snow,15/3/2018,19/3/2018,NEWTOWN,The Newtown Hotel,AEREO
47,MQC-84344,Shawn Mendes,4/9/2018,6/9/2018,BUENOS AIRES,Esplendor By Wytham,MIXTO
48,NHQ-91406,Becky G,20/8/2021,23/8/2021,MIAMI,Ivory on the Bay,TERRESTRE
49,PXF-47063,Paramore,16/9/2021,17/9/2021,BRUSELAS,Ibis Hotel,TERRESTRE
50,IZW-22084,Paramore,16/7/2019,17/7/2019,FRANKFURT,Melia Frankfurt,TERRESTRE
51,KXW-88752,Bad Bunny,15/7/2018,15/7/2018,BRASILIA,Royal Tulip,TERRESTRE
52,IBB-16011,Lady Gaga,27/5/2020,27/5/2020,OTTAWA,TBA Ottawa,TERRESTRE
53,SCZ-77102,Duki,8/3/2021,10/3/2021,SANTIAGO,Courtyard by Marriot,TERRESTRE
54,CIS-15231,Robin Schulz,21/10/2021,24/10/2021,BRUSELAS,Dansaert Hotel,AEREO
55,YUY-79619,One Direction,11/8/2022,14/8/2022,BRUSELAS,Dansaert Hotel,AEREO
56,CEO-25170,U2,19/10/2021,22/10/2021,AUCKLAND,Auckland City Hotel,AEREO
57,BLW-94478,Beele,25/3/2018,30/3/2018,SANTIAGO,Almasur Hotel,TERRESTRE
58,EHD-67439,La Ley,26/2/2020,28/2/2020,NEWTOWN,The Newtown Hotel,TERRESTRE
59,EJG-79027,Wos,29/5/2019,4/6/2019,BUENOS AIRES,Design Suites,AEREO
60,RQW-65411,Skrillex,10/11/2021,15/11/2021,SANTIAGO,Hotel Magnolia,TERRESTRE
61,UZW-50211,Pearl Jam,27/8/2019,27/8/2019,BRUSELAS,Ibis Hotel,MIXTO
62,OBG-83016,My Chemical Romance,6/5/2019,7/5/2019,BRASILIA,BSB Stay,AEREO
63,YVT-29308,Imagine Dragons,7/10/2019,10/10/2019,SANTIAGO,Hotel Magnolia,AEREO
64,PYD-65709,Nicki Minaj,28/4/2018,30/4/2018,SANTIAGO,Sheraton Santiago,TERRESTRE
65,YLL-51126,Eminem,21/10/2021,26/10/2021,BARCELONA,Barcelo Sants,TERRESTRE
66,LNB-95863,Aerosmith,9/7/2021,9/7/2021,SAO PAULO,Riu Sao Paulo,TERRESTRE
67,ZGJ-41292,Ariana Grande,5/2/2020,10/2/2020,MEDELLIN,Selvario 36,TERRESTRE
68,XBA-14521,5 Seconds of Summer,14/12/2020,14/12/2020,BUENOS AIRES,Esplendor By Wytham,TERRESTRE
69,GYS-46151,Daddy Yankee,25/9/2018,26/9/2018,RIO DE JANEIRO,Sheraton Rio de Janeiro,TERRESTRE
70,MIZ-62212,Aerosmith,12/1/2022,17/1/2022,VIÑA DEL MAR,Gala Hotel,MIXTO
71,ULF-54877,One Direction,10/11/2021,14/11/2021,NELSON,Nelson Plaza Hotel,TERRESTRE
72,JGX-17421,Karol G,24/4/2018,27/4/2018,RIO DE JANEIRO,TBA Rio de Janeiro,TERRESTRE
73,USB-43215,The Martinez Brothers,5/1/2022,8/1/2022,SYDNEY,HUB Sydney,AEREO
74,UZS-32765,Beto Cuevas,5/2/2022,6/2/2022,AUCKLAND,Auckland City Hotel,TERRESTRE
75,KOV-77517,Tiago PZK,12/11/2020,17/11/2020,AUCKLAND,Hilton Auckland,MIXTO
76,ZCY-17886,Daniel Caesar,2/8/2021,6/8/2021,COLOGNE,Ruby Ella,AEREO
77,GVP-85041,EXO,15/9/2022,20/9/2022,SANTIAGO,Novapark,TERRESTRE
78,LUP-45712,Trueno,23/2/2018,28/2/2018,FRANKFURT,The Flag,MIXTO
79,EGB-46422,The Beatles,18/2/2021,22/2/2021,BARCELONA,Acta Voraport,TERRESTRE
80,PKO-11513,Jennifer Lopez,22/9/2021,27/9/2021,BILBAO,Hotel Gran Bilbao,AEREO
81,DBI-19185,Nathy Peluso,28/3/2020,29/3/2020,MADRID,Riu Plaza España,TERRESTRE
82,PQL-94226,Ed Sheeran,21/9/2021,22/9/2021,LOS ANGELES,Sonesta Los Angeles,TERRESTRE
83,TMB-86062,Hardwell,9/9/2022,13/9/2022,SAO PAULO,Riu Sao Paulo,AEREO
84,MYK-30968,Gepe,3/12/2021,3/12/2021,SANTIAGO,AC Hotel by Marriot,TERRESTRE
85,UUD-80299,Skrillex,22/5/2018,27/5/2018,MADRID,Lotus Opera House,TERRESTRE
86,PVI-82100,Nathy Peluso,5/3/2021,8/3/2021,COLOGNE,Haus Am Dom,AEREO
87,EIP-64314,Big Bang,21/1/2019,23/1/2019,COLOGNE,Ruby Ella,TERRESTRE
88,JTD-65081,Paramore,18/8/2020,22/8/2020,MIAMI,The Altair Bay Hotel,MIXTO
89,XSW-97532,Big Bang,30/7/2021,5/8/2021,NEWTOWN,Riu Plaza Newtown,TERRESTRE
90,OSB-51484,My Chemical Romance,26/2/2021,27/2/2021,NUEVA YORK,Park Lane NYC,TERRESTRE
91,LDE-57319,Paramore,11/1/2020,12/1/2020,SYDNEY,Sheraton Sydney,MIXTO
92,BGS-84234,Natti Natasha,16/1/2019,20/1/2019,MEDELLIN,Hotel Central Plaza,MIXTO
93,SWK-60246,La Ley,23/4/2019,27/4/2019,AUCKLAND,Heritage Homestay,TERRESTRE
94,CRN-10999,Luar La L,20/6/2022,23/6/2022,AUCKLAND,Hilton Auckland,TERRESTRE
95,JIT-63907,5 Seconds of Summer,27/3/2022,29/3/2022,SACRAMENTO,Sacramento Hotel,TERRESTRE
96,UUW-87194,Beele,19/7/2020,21/7/2020,BARCELONA,Acta Voraport,AEREO
97,EGN-55072,Robin Schulz,27/4/2020,30/4/2020,SANTIAGO,HUB Providencia,TERRESTRE
98,OEY-36548,Mercedes Sosa,12/7/2018,17/7/2018,PORTO ALEGRE,Sheraton Porto Alegre,TERRESTRE
99,XZG-48693,Zedd,30/4/2021,2/5/2021,BARCELONA,Acta Voraport,TERRESTRE
100,VKS-55653,Los Prisioneros,21/5/2020,23/5/2020,SANTIAGO,Sheraton Santiago,TERRESTRE
101,AWA-42935,Ozuna,23/4/2022,25/4/2022,NUEVA YORK,Sheraton New York,TERRESTRE
102,GTV-32187,Diplo,20/11/2022,20/11/2022,BILBAO,Hotel Ercilla de Bilbao,TERRESTRE
103,GVN-38736,Paloma Mami,18/6/2020,23/6/2020,BARCELONA,Acta Voraport,MIXTO
104,UUT-77757,Nicki Nicole,11/12/2019,15/12/2019,WELLINGTON,Oaks Wellington hotel,TERRESTRE
105,AJH-38849,Afrojack,26/4/2021,30/4/2021,TEXAS,Texas Gran Hotel,MIXTO
106,QOR-38589,One Republic,19/12/2022,23/12/2022,BUENOS AIRES,Design Suites,MIXTO
107,VKA-64244,Gustavo Cerati,22/1/2019,26/1/2019,LOS ANGELES,Ace Hotel,TERRESTRE
108,NKA-42925,Karol G,7/6/2022,9/6/2022,AUCKLAND,Heritage Homestay,AEREO
109,ZCL-84902,Paulo Londra,11/9/2021,11/9/2021,SANTIAGO,AC Hotel by Marriot,TERRESTRE
110,PEM-10793,Mercedes Sosa,24/3/2019,27/3/2019,BRASILIA,Grand Mercure,TERRESTRE
111,TED-66039,Beto Cuevas,14/5/2020,14/5/2020,RIO DE JANEIRO,Sheraton Rio de Janeiro,AEREO
112,HDY-16763,Snow,28/11/2020,3/12/2020,SAO PAULO,Sao Paulo Hotel,TERRESTRE
113,LRK-73398,Bon Jovi,14/10/2022,15/10/2022,SANTIAGO,HUB Providencia,TERRESTRE
114,BUN-88971,BTS,16/8/2022,20/8/2022,MADRID,Riu Plaza España,TERRESTRE
115,XYJ-49624,Paloma Mami,4/4/2021,5/4/2021,BUENOS AIRES,Palacio Paz,AEREO
116,UFE-34774,Quevedo,27/4/2019,28/4/2019,RIO DE JANEIRO,Park Lane RDJ,TERRESTRE
117,ODO-30998,Michael Jackson,30/12/2022,3/1/2023,LOS ANGELES,Hotel Normandie,TERRESTRE
118,BSR-56072,Mercedes Sosa,26/2/2022,28/2/2022,HAMBURG,Reichshof,MIXTO
119,FUE-43931,Gepe,30/1/2019,2/2/2019,VIÑA DEL MAR,Best Western Marina del Rey,TERRESTRE
120,YJA-77186,One Republic,11/11/2019,16/11/2019,BERLIN,Radisson Berlin,MIXTO
121,XOA-84288,Nicki Nicole,28/3/2019,31/3/2019,BARCELONA,Acta Voraport,MIXTO
122,NKH-76954,Olivia Rodrigo,14/10/2022,15/10/2022,NUEVA YORK,Sheraton New York,TERRESTRE
123,BHY-22923,Shawn Mendes,1/12/2021,6/12/2021,VALENCIA,Silken Puerta Valencia,AEREO
124,HEP-10747,Paulo Londra,12/10/2018,16/10/2018,WASHINGTON DC,Washington Plaza Hotel,TERRESTRE
125,DOZ-78767,New Kids on the Block,12/7/2018,16/7/2018,BILBAO,Hotel Ilunion,TERRESTRE
126,SFE-11508,Ed Sheeran,16/12/2018,16/12/2018,COLOGNE,Ruby Ella,AEREO
127,GVY-71555,Jessie J,21/7/2019,25/7/2019,RIO DE JANEIRO,Millenium Hotel Rio,MIXTO
128,QWH-52620,Paulo Londra,28/4/2020,30/4/2020,BERLIN,Radisson Berlin,TERRESTRE
129,LCD-10239,The Beatles,12/7/2018,13/7/2018,AUCKLAND,Auckland City Hotel,TERRESTRE
130,ZHJ-26410,Hansen,2/4/2018,5/4/2018,BARCELONA,Acta Voraport,AEREO
131,KDV-48608,Luar La L,6/5/2020,11/5/2020,BOSTON,Hampton Inn,AEREO
132,PFR-84704,Alesso,15/12/2019,19/12/2019,TORONTO,Holiday Inn Toronto,AEREO
133,EBK-91011,Wisin & Yandel,23/9/2020,24/9/2020,MEDELLIN,Hotel Torre Poblado,TERRESTRE
134,HEV-31059,DJ Snake,20/5/2018,23/5/2018,SANTIAGO,Almasur Hotel,TERRESTRE
135,DQL-76667,Kanye West,5/8/2019,8/8/2019,COLOGNE,Haus Am Dom,AEREO
136,RNW-48490,EXO,28/8/2018,30/8/2018,NUEVA YORK,Sheraton New York,AEREO
137,XMH-47556,Big Time Rush,6/12/2022,7/12/2022,BOGOTA,Madisson Inn,TERRESTRE
138,VON-68047,Selena Gomez,23/1/2019,25/1/2019,SYDNEY,Sydney Grand Hotel,MIXTO
139,FVC-31577,Duncan Laurence,2/6/2019,6/6/2019,SANTIAGO,Sheraton Santiago,TERRESTRE
140,VEZ-87845,Quevedo,9/10/2021,10/10/2021,MEDELLIN,Hotel Central Plaza,TERRESTRE
141,QWB-28983,Daniel Caesar,19/7/2019,24/7/2019,BILBAO,Hotel Ercilla de Bilbao,TERRESTRE
142,MFQ-15649,Daniel Caesar,9/7/2019,10/7/2019,BERLIN,Melia Berlin,TERRESTRE
143,PEA-29870,Queen,25/9/2021,27/9/2021,SANTIAGO,Courtyard by Marriot,MIXTO
144,LQJ-50633,Selena Gomez,22/6/2018,27/6/2018,SANTIAGO,Hotel Magnolia,TERRESTRE
145,GKQ-95671,Tini Stoessel,26/5/2019,30/5/2019,BOGOTA,HAB Hotel,TERRESTRE
146,URV-19696,Snow,11/4/2020,16/4/2020,SAO PAULO,Sheraton Sao Paulo,TERRESTRE
147,PPP-94435,R3hab,18/7/2022,22/7/2022,MIAMI,Riu Plaza Miami Beach,MIXTO
148,NJN-31317,The Weeknd,12/11/2018,12/11/2018,SACRAMENTO,Sacramento Hotel,TERRESTRE
149,UQV-21965,Afrojack,26/1/2022,30/1/2022,SANTIAGO,Novapark,TERRESTRE
150,ZEM-10982,Afrojack,7/10/2018,8/10/2018,WASHINGTON DC,Riggs Washington DC,MIXTO
151,VKO-62769,DrefQuila,3/4/2022,4/4/2022,SANTIAGO,Novapark,TERRESTRE
152,ODT-49896,The Weeknd,17/6/2022,20/6/2022,VALPARAISO,Hotel WineBox,TERRESTRE
153,KOJ-68685,R3hab,29/10/2020,29/10/2020,BRASILIA,Royal Tulip,MIXTO
154,XYJ-23642,Beto Cuevas,12/10/2019,17/10/2019,MEDELLIN,Hotel Torre Poblado,TERRESTRE
155,VKW-97484,Bon Jovi,27/4/2021,29/4/2021,TORONTO,Pan Pacific Toronto,MIXTO
156,MAP-74819,Daft Punk,26/7/2019,28/7/2019,AUCKLAND,Auckland City Hotel,MIXTO
157,UJG-26988,Soda Stereo,28/4/2018,30/4/2018,WASHINGTON DC,Washington Plaza Hotel,TERRESTRE
158,YAJ-91347,Rauw Alejando,15/6/2022,17/6/2022,SAO PAULO,Riu Sao Paulo,MIXTO
159,GTQ-73788,Camila Cabello,22/12/2022,25/12/2022,BUENOS AIRES,Design Suites,MIXTO
160,KTP-21350,Maria Becerra,3/7/2019,8/7/2019,LOS ANGELES,Hotel Normandie,TERRESTRE
161,MSW-76456,Emilia,15/8/2022,18/8/2022,SANTIAGO,AC Hotel by Marriot,MIXTO
162,DYB-25500,Afrojack,29/11/2018,1/12/2018,SYDNEY,Sydney Grand Hotel,MIXTO
163,ZLK-25002,Skrillex,28/4/2021,30/4/2021,BOGOTA,HAB Hotel,TERRESTRE
164,UKF-87442,Khea,4/2/2022,6/2/2022,SANTIAGO,Almasur Hotel,TERRESTRE
165,OTW-42698,Tini Stoessel,22/7/2019,24/7/2019,MIAMI,Riu Plaza Miami Beach,MIXTO
166,GRT-89888,Imagine Dragons,22/8/2022,23/8/2022,AUCKLAND,Auckland City Hotel,AEREO
167,EOZ-92084,Beto Cuevas,25/8/2018,27/8/2018,NUEVA YORK,TBA Times Square,TERRESTRE
168,APO-43035,Paulo Londra,24/12/2022,27/12/2022,FRANKFURT,Melia Frankfurt,TERRESTRE
169,HGN-48024,Jessie J,6/9/2022,9/9/2022,COLOGNE,StadHotel,TERRESTRE
170,GCZ-97711,The Weeknd,28/5/2022,28/5/2022,VALENCIA,Silken Puerta Valencia,MIXTO
171,BTJ-28479,Paulo Londra,20/10/2018,25/10/2018,SANTIAGO,HUB Providencia,MIXTO
172,JXI-58978,Diplo,6/1/2018,10/1/2018,SANTIAGO,Novapark,AEREO
173,OCD-80083,Daniel Caesar,14/2/2021,15/2/2021,MADRID,Ave Maria,TERRESTRE
174,RWA-90084,Khalid,24/4/2018,26/4/2018,COLOGNE,Haus Am Dom,AEREO
175,QPY-19801,Ariana Grande,2/9/2022,2/9/2022,SANTIAGO,Courtyard by Marriot,MIXTO
176,UHA-92022,Gustavo Cerati,2/9/2019,6/9/2019,SANTIAGO,HUB Providencia,AEREO
177,MJT-62591,Jennifer Lopez,22/9/2020,27/9/2020,MADRID,Ave Maria,TERRESTRE
178,EKH-25069,Emilia,18/6/2018,21/6/2018,BERLIN,Hotel Neuer Fritz,TERRESTRE
179,VOJ-99145,Taylor Swift,3/10/2019,4/10/2019,BOSTON,Wyndham Boston,MIXTO
180,JBA-36436,Bee Gees,9/7/2022,10/7/2022,BUENOS AIRES,Design Suites,MIXTO
181,YSG-39943,Paulo Londra,6/6/2022,10/6/2022,LOS ANGELES,Ace Hotel,AEREO
182,KVL-89883,Paulo Londra,17/4/2019,17/4/2019,SANTIAGO,Ibis Santiago,TERRESTRE
183,SUL-38202,Niall Horan,13/11/2021,13/11/2021,NUEVA YORK,TBA Times Square,MIXTO
184,IXW-88229,Nathy Peluso,15/12/2018,20/12/2018,RIO DE JANEIRO,Park Lane RDJ,AEREO
185,QWF-62007,Daft Punk,9/4/2020,10/4/2020,SANTIAGO,Ibis Santiago,TERRESTRE
186,YTO-52370,Wos,26/12/2019,29/12/2019,NUEVA YORK,Millenium Hotel,MIXTO
187,KYJ-16216,R3hab,5/2/2021,9/2/2021,SAO PAULO,Sao Paulo Hotel,TERRESTRE
188,CHV-43236,Lola Indigo,16/4/2022,17/4/2022,ONTARIO,Grand Plaza Ontario,AEREO
189,AZG-54588,Shakira,1/2/2022,2/2/2022,BOSTON,Boston Park Plaza,MIXTO
190,EYE-38235,Aerosmith,17/4/2022,18/4/2022,RIO DE JANEIRO,TBA Rio de Janeiro,TERRESTRE
191,CRO-21344,Afrojack,26/11/2019,28/11/2019,AUCKLAND,Heritage Homestay,MIXTO
192,XOS-44872,Afrojack,21/9/2018,25/9/2018,BERLIN,Hotel Neuer Fritz,TERRESTRE
193,HBX-81375,La Ley,7/2/2018,8/2/2018,MIAMI,The Betsy Hotel,MIXTO
194,MAP-41781,Camila Cabello,28/2/2019,28/2/2019,BERLIN,Radisson Berlin,MIXTO
195,HXM-68731,RBD,24/12/2018,24/12/2018,BARCELONA,Acta Voraport,TERRESTRE
196,YMA-15869,EXO,11/6/2021,13/6/2021,BERLIN,Hotel Neuer Fritz,TERRESTRE
197,USW-12442,El Alfa,1/10/2022,1/10/2022,WELLINGTON,Rydges Wellington,TERRESTRE
198,CRL-42112,Justin Bieber,2/10/2019,3/10/2019,BOSTON,The NewBury Boston,TERRESTRE
199,MRU-41157,Robin Schulz,26/6/2022,27/6/2022,SANTIAGO,Ibis Santiago,MIXTO
