Nombre,Artista
Eventage Feasts,Doja Cat
I Used to Think I could Fly,Tate McRae
Que oso,Snow
Everybody,Madonna
Shape of you,Ed Sheeran
CARAVANA,Wos
AgendaMusic,Becky G
Golden,Harry Styles
Roads Time,Daft Punk
RBD the comeback,RBD
Talking to the moon,Bruno Mars
Disney Concert,Demi Lovato
TJB,Jonas Brothers 
DJs Apoyando a Chile,David Guetta
Concha Acústica UC 2022,Marcianeke
Younger now,Miley Cyrus
Treat you better,Shawn Mendes
Habana ,Camila Cabello
I Aint Worried,One Republic
Disney Concert,Selena Gomez
Kill my mind,Louis Tomlinson
Best Part,Daniel Caesar
Maria Becerra,Maria Becerra
Como si no importara,Duki
ShoNuf Lucky,Hardwell
El Duko,Duki
How do you sleep,San Smith
Fourplan Event,Luar La L
El Ultimo Concierto,Soda Stereo
Gowlding,Ellie Gowlding
Tren al Sur,Los Prisioneros
RUNAWAY,Bon Jovi
Todo Cambia,Mercedes Sosa
Watch out for this,Major Lazer
Seize The Day,My Chemical Romance
Dangerous Woman,Ariana Grande
Fourplan Event,Tini Stoessel
La Ultima Mision,Wisin & Yandel
Drivers License Tour,Olivia Rodrigo
Rio Concert,Maria Becerra
Michael Jackson Tribute,Michael Jackson
The Misery,Imagine Dragons
El J23,Jordan 23
